person_id,district_id,income
10068,5,805882
10023,2,729492
10033,5,817716
10058,5,921643
10082,1,373386
10073,2,192190
10061,1,506826
10067,2,712862
10019,4,350387
10019,4,700618
10043,4,352187
10062,5,248644
10014,3,876051
10012,2,640239
10072,4,433482
10022,1,149718
10002,4,442233
10007,2,939157
10048,4,338946
10067,4,888729
10055,3,637591
10072,2,693087
10020,1,652527
10027,3,747318
10059,1,238189
10046,4,937800
10049,5,52475
10078,1,515079
10007,4,536263
10086,4,851186
10077,5,826381
10040,1,123509
10083,2,756975
10020,5,633249
10081,4,846555
10079,2,865639
10085,5,298263
10092,2,900027
10028,3,592985
10047,3,424519
10074,4,574959
10047,5,393784
10090,4,828547
10092,1,817290
10017,1,270447
10069,1,902435
10069,5,389023
10068,4,251584
10004,1,407281
10078,3,226959
10002,2,438395
10092,1,934913
10043,3,506963
10036,5,144354
10001,5,118055
10050,4,877953
10029,5,996396
10062,5,893367
10094,3,934499
10069,4,426172
10029,5,316666
10050,4,566628
10041,2,184276
10074,3,422385
10034,1,785544
10017,4,380755
10039,1,786735
10021,1,981196
10019,1,701181
10026,2,119342
10014,5,242595
10050,1,352774
10085,4,657205
10098,2,321647
10060,1,546146
10057,3,301891
10050,1,642076
10001,1,851352
10036,3,722679
10087,5,575906
10071,2,503191
10073,4,111902
10020,5,239461
10055,5,255685
10044,3,898488
10090,5,174449
10048,3,581678
10027,3,473297
10029,3,462986
10072,5,787817
10060,2,419209
10062,4,774856
10047,2,808790
10001,3,198398
10068,1,549155
10077,5,431826
10068,4,483965
10043,4,906017
10086,1,901618
10013,5,691833
